;year;violent;murder;robbery;prisoners;afam;cauc;male;population;income;density;state;law
235;1981;548.2;17.2;196.4;219;9.516.834;5.479.004;1.821.969;5.568.343;10340.76;0.0959133;Georgia;no
236;1982;478.2;12.6;154.6;220;9.618.777;5.468.195;1.808.953;5.649.793;10375.73;0.0973163;Georgia;no
237;1983;456.7;8.4;144.2;247;9.689.654;5.456.527;1.791.106;5.728.254;10849;0.0986677;Georgia;no
238;1984;478.6;9.4;144.1;259;9.735.667;5.450.443;1.767.456;5.834.957;11685.42;0.1005057;Georgia;no
239;1985;507.2;10.4;164.2;254;9.769.167;5.440.846;1.743.874;5.962.668;12170.42;0.1027055;Georgia;no
240;1986;587.6;11.2;213.9;251;9.778.049;5.431.058;1.717.435;608.466;12716.91;0.1048067;Georgia;no
241;1987;576.5;11.8;209.2;265;9.782.475;5.423.222;1.687.653;620.847;12997.14;0.1069393;Georgia;no
242;1988;665.3;11.7;243.6;282;9.798.496;5.405.778;1.663.891;6.316.153;13367.59;0.1087941;Georgia;no
243;1989;735.8;12.7;271.1;281;9.818.057;5.384.161;164.105;6.411.085;13492.81;0.1104293;Georgia;no
244;1990;756.3;11.8;263.5;300;9.871.989;5.520.558;1.619.728;6.506.531;13516.36;0.1123385;Georgia;yes
245;1991;738.2;12.8;268.2;327;1.000.728;5.494.827;1.589.805;6.621.279;13369.26;0.1143196;Georgia;yes
246;1992;733.2;11;249.8;342;1.013.363;5.466.885;1.564.598;6.759.474;13726.43;0.1167056;Georgia;yes
247;1993;723.1;11.4;248;365;1.025.108;5.434.254;1.538.986;6.894.092;13868.88;0.1190299;Georgia;yes
248;1994;667.7;10;222.6;387;1.039.586;5.412.839;1.514.298;70.459;14226.24;0.1216509;Georgia;yes
249;1995;657.1;9.5;205.2;456;1.052.201;5.394.292;1.494.876;7.188.538;14538.42;0.1241136;Georgia;yes
250;1996;638.7;8.6;205.4;470;1.065.336;5.372.744;1.480.887;7.332.225;14977.11;0.1265945;Georgia;yes
251;1997;606.6;7.5;206.7;462;1.080.586;535.205;1.471.933;7.486.094;15243.07;0.1292511;Georgia;yes
252;1998;572.7;8.1;187.2;472;1.094.355;5.332.244;1.467.237;7.636.522;15974.6;0.1318483;Georgia;yes
253;1999;534;7.5;166.4;502;1.110.859;5.318.856;1.462.885;778.824;16339.75;0.1344678;Georgia;yes
254;1977;224.8;7.2;128;39;2.665.354;2.428.329;205.375;0.918257;13737.26;0.1429194;Hawaii;no
255;1978;270.1;6.7;173.6;44;2.678.969;2.398.426;2.036.709;0.931586;13978.14;0.1449939;Hawaii;no
256;1979;289.7;7.2;184.5;57;2.694.793;2.373.469;2.007.941;0.953305;13977.94;0.1483743;Hawaii;no
257;1980;299.5;8.7;190.2;58;2.697.957;2.351.738;1.969.567;0.96771;13918.01;0.1506163;Hawaii;no
258;1981;247.6;4.8;148.4;65;251.352;2.777.328;1.952.127;0.978174;13490.66;0.152245;Hawaii;no
259;1982;255.7;3.1;156.9;77;2.515.592;275.246;1.904.051;0.993802;13340.66;0.1546773;Hawaii;no
260;1983;252.1;5.6;130;88;2.501.153;2.745.545;1.863.502;1.012.717;13880;0.1576213;Hawaii;no
261;1984;231.9;3.3;115.9;103;2.482.482;272.599;1.831.653;1.027.935;14300.61;0.1599899;Hawaii;no
262;1985;219.4;4.1;99.4;124;2.472.177;2.702.564;1.790.892;1.039.683;14531.72;0.1618184;Hawaii;no
263;1986;245.2;4.8;106.3;134;2.464.585;2.686.471;1.756.933;1.051.759;14915.78;0.1636979;Hawaii;no
264;1987;263.3;4.8;98;142;2.464.091;2.672.901;1.723.383;1.067.911;15252.78;0.1662118;Hawaii;no
265;1988;257.1;4;84.1;141;246.308;2.648.869;1.683.211;1.079.823;15906.22;0.1680658;Hawaii;no
266;1989;270.1;4.8;83.2;136;2.463.831;2.623.444;1.653.651;1.094.584;16493.62;0.1703633;Hawaii;no
267;1990;280.9;4;91.4;142;2.485.353;2.638.754;1.616.793;1.112.703;17061.94;0.1732373;Hawaii;no
268;1991;241.8;4;86.9;150;2.466.962;2.644.024;1.576.782;1.131.412;16926.31;0.1761501;Hawaii;no
269;1992;258.4;3.6;99.2;153;2.446.166;2.649.997;1.544.691;1.149.926;17201.17;0.1790325;Hawaii;no
270;1993;261.2;3.8;103.6;164;2.425.993;2.632.638;1.509.606;1.161.508;17242.91;0.1808357;Hawaii;no
271;1994;262.2;4.2;103.6;198;2.407.439;2.625.737;1.479.892;1.173.903;17025.12;0.1827655;Hawaii;no
272;1995;295.6;4.7;130.8;202;2.395.598;2.610.543;1.450.059;118.049;16731.94;0.1837911;Hawaii;no
273;1996;280.6;3.4;135.6;217;239.511;2.601.487;1.422.114;1.184.434;16294.73;0.1844051;Hawaii;no
274;1997;277.9;4;118.2;249;2.403.664;2.600.187;1.396.745;1.189.322;16300.63;0.1851661;Hawaii;no
275;1998;246.9;2;102.7;288;2.409.624;2.604.379;1.386.349;1.190.472;16333.25;0.1853452;Hawaii;no
276;1999;235;3.7;88.1;307;2.416.387;2.608.433;1.368.127;1.185.497;16464.73;0.1845706;Hawaii;no
277;1977;236.9;5.5;39.6;82;0.7693518;7.072.501;1.870.859;0.883471;10702.44;0.0106858;Idaho;no
278;1978;236.4;5.4;40;87;0.7953302;7.047.297;184.472;0.910691;11183.43;0.011015;Idaho;no
279;1979;288.7;5.4;43.3;91;0.8045025;7.013.862;1.818.274;0.932626;10830.57;0.0112804;Idaho;no
280;1980;313.4;3.1;46.8;92;0.8417872;6.979.239;1.795.602;0.947983;10560.61;0.011503;Idaho;no
281;1981;283.3;4.5;37.7;87;0.8455596;6.953.201;1.768.889;0.962203;10307.88;0.0116755;Idaho;no
282;1982;259.2;2.5;30.3;99;0.8571174;691.673;1.732.402;0.973729;9.928.871;0.0118154;Idaho;no
283;1983;238.7;3.5;27.3;107;0.8737516;6.887.727;1.702.201;0.981858;10315;0.011914;Idaho;no
284;1984;235.3;3.4;24.4;121;0.894089;6.874.544;1.671.792;0.990841;10615.17;0.012023;Idaho;no
285;1985;234.8;2.2;26.8;127;0.9220901;6.865.839;1.644.944;0.994046;10785.12;0.0120619;Idaho;no
286;1986;222.5;3.2;21.3;133;0.9490763;6.849.204;1.620.034;0.990226;10878.91;0.0120156;Idaho;no
287;1987;214.2;3.1;24.2;144;0.9795899;6.847.251;1.599.648;0.985004;11059.85;0.0119522;Idaho;no
288;1988;234.7;3.6;20.2;144;1.013.626;685.293;158.046;0.985669;11407.42;0.0119603;Idaho;no
289;1989;254.6;2.6;15;157;1.052.668;6.868.022;1.570.031;0.994426;11886.81;0.0120665;Idaho;no
290;1990;275.7;2.7;15;180;1.085.008;7.069.105;1.565.983;1.011.882;12089.89;0.012228;Idaho;no
291;1991;290.3;1.8;20.7;190;1.103.555;7.135.117;1.560.041;1.038.915;11838.54;0.0125547;Idaho;yes
292;1992;281.4;3.5;21.5;205;1.128.468;7.166.949;1.564.618;106.649;12237.56;0.0128879;Idaho;yes
293;1993;281.8;2.9;16.9;209;1.165.088;7.203.497;1.571.289;1.101.204;12579.76;0.0133074;Idaho;yes
294;1994;285.8;3.5;18.4;234;1.162.437;7.230.266;1.573.883;1.135.459;12664.51;0.0137214;Idaho;yes
295;1995;322;4.1;24;245;1.186.352;7.263.202;1.578.395;1.165;12838.02;0.0140784;Idaho;yes
296;1996;267.2;3.6;20.3;283;1.186.826;7.277.551;1.582.892;1.187.706;12924.16;0.0143528;Idaho;yes
297;1997;256.8;3.2;19.6;319;1.210.849;7.291.081;1.586.725;1.210.638;12939.78;0.0146299;Idaho;yes
298;1998;282.2;2.9;21.5;323;1.241.914;7.294.096;1.584.445;1.230.923;13394.34;0.014875;Idaho;yes
299;1999;244.9;2;17.8;330;1.250.619;7.322.482;1.579.188;12.517;13676.86;0.0151261;Idaho;yes
300;1977;630.6;9.9;280.3;87;5.314.545;6.296.043;1.808.612;1.138.632;13784.94;0.2042462;Illinois;no
301;1978;676.7;9.9;292.9;95;5.416.671;627.687;1.797.922;1.141.256;14175.26;0.204717;Illinois;no
302;1979;743.9;10.7;321.1;96;551.595;6.254.858;1.790.405;1.139.684;14053.4;0.2044349;Illinois;no
303;1980;808;10.6;367;95;5.659.422;620.413;1.779.839;114.347;13392.09;0.2054938;Illinois;no
304;1981;792.5;10.5;373.2;94;5.717.615;6.188.957;1.769.374;1.144.346;13426;0.2056512;Illinois;no
305;1982;774.3;8.8;346.8;113;5.786.729;615.728;1.750.049;1.142.341;13179.67;0.2052909;Illinois;no
306;1983;728.1;9.7;318.9;119;5.830.409;6.123.556;1.725.182;1.140.882;13289;0.2050287;Illinois;no
307;1984;724.9;9;303.8;135;5.887.696;6.088.976;1.700.621;1.141.214;14080.04;0.2050883;Illinois;no
308;1985;714.8;8;287.1;149;5.935.356;6.061.123;1.673.879;113.998;14360.41;0.2048666;Illinois;no
309;1986;808.9;8.9;325.3;161;5.984.066;6.026.858;1.644.861;1.138.726;14802.16;0.2046412;Illinois;no
310;1987;796.2;8.3;314.3;168;6.044.029;6.000.742;1.614.987;1.139.118;15162.45;0.2047116;Illinois;no
311;1988;810.4;8.6;312.7;171;6.104.655;5.983.682;1.587.374;1.139.018;15544.16;0.2046936;Illinois;no
312;1989;845.9;9;335.7;181;6.170.642;5.959.296;1.561.103;1.140.979;15766.1;0.205046;Illinois;no
313;1990;967.4;10.3;394;211;6.253.667;6.130.873;1.535.439;1.144.698;15816.07;0.2059068;Illinois;no
314;1991;1039.2;11.3;456.1;234;6.289.829;6.105.313;1.507.635;1.153.597;15584.92;0.2075077;Illinois;no
315;1992;977.3;11.4;412.5;247;634.584;6.084.206;1.482.899;116.352;16162.44;0.2092925;Illinois;no
316;1993;959.7;11.4;381.2;271;6.404.929;6.066.113;145.957;1.172.598;16112.96;0.2109255;Illinois;no
317;1994;960.9;11.7;372.6;294;6.450.367;6.046.421;1.439.548;1.180.499;16423.68;0.2123466;Illinois;no
318;1995;996.1;10.3;330.8;310;6.498.252;6.030.975;142.654;1.188.494;16770.52;0.2137847;Illinois;no
319;1996;890.4;10;279.4;317;653.061;6.021.309;1.418.194;11.953;17148.17;0.2150091;Illinois;no
320;1997;861.4;9.2;278.4;327;6.582.279;6.015.479;1.411.023;1.201.151;17609.08;0.2160615;Illinois;no
321;1998;807.7;8.4;248.5;342;6.644.557;6.022.058;1.408.345;1.206.977;18333.67;0.2171096;Illinois;no
322;1999;732.5;7.7;219.4;357;6.703.696;603.039;1.405.192;1.212.837;18620.52;0.2181636;Illinois;no
323;1977;310.6;7.4;123.2;79;26.976;6.779.831;1.827.271;5.425.637;11835.16;0.1503071;Indiana;yes
324;1978;323.5;6.2;121.4;80;2.725.104;677.674;1.811.898;5.470.213;12233.17;0.151542;Indiana;yes
325;1979;338;8.3;132.7;82;2.755.229;6.768.886;1.797.917;5.501.176;12092.81;0.1523998;Indiana;yes
326;1980;377.8;8.9;141.4;98;2.823.509;6.790.417;179.503;5.490.721;11423.84;0.1528087;Indiana;yes
327;1981;341.6;7.1;129;114;2.854.706;6.783.166;1.782.692;5.480.425;11349.08;0.1525221;Indiana;yes
328;1982;300.6;6.5;109;138;2.872.222;6.770.847;176.267;5.467.927;11040.34;0.1521743;Indiana;yes
329;1983;283.8;5.2;99.9;152;2.885.897;6.752.014;173.782;5.450.402;11203;0.1516866;Indiana;yes
330;1984;305.2;5.5;98.9;164;2.905.413;67.398;1.710.892;5.458.328;11934.76;0.1519072;Indiana;yes
331;1985;309.4;5.8;92.1;165;2.925.127;672.464;1.684.403;5.459.216;12170.42;0.1519319;Indiana;yes
332;1986;307.7;6;90;175;2.938.516;6.704.064;1.654.667;5.454.114;12563.29;0.1517899;Indiana;yes
333;1987;328.5;5.6;88.6;181;2.961.735;668.979;1.623.834;5.473.009;12860.33;0.1523157;Indiana;yes
334;1988;380;6.4;89;192;2.994.701;6.676.343;1.594.941;5.491.734;13148.67;0.1528369;Indiana;yes
335;1989;406.5;6.3;101.4;202;3.025.771;6.650.909;1.564.921;5.523.684;13466.31;0.153726;Indiana;yes
336;1990;473.9;6.2;101.3;217;3.074.402;6.873.007;1.539.386;5.555.097;13430.25;0.1548675;Indiana;yes
337;1991;505.3;7.5;116;223;3.103.143;6.865.849;1.518.651;5.602.062;13198.2;0.1561768;Indiana;yes
338;1992;508.5;8.2;122.2;226;3.153.816;68.592;1.499.706;5.648.649;13680.99;0.1574756;Indiana;yes
339;1993;489.1;7.5;119.8;242;3.194.074;685.289;1.483.638;5.701.965;13857.17;0.158962;Indiana;yes
340;1994;525.1;7.9;130.2;250;3.237.767;683.758;146.568;5.745.626;14214.82;0.1601792;Indiana;yes
341;1995;524.7;8;135.2;258;3.273.013;6.829.259;1.453.459;5.791.819;14286.63;0.1614669;Indiana;yes
342;1996;537;7.2;124.1;275;3.305.725;6.828.423;1.445.186;5.834.908;14462.12;0.1626682;Indiana;yes
343;1997;514.6;7.3;132.4;286;3.355.477;6.814.533;1.438.239;587.237;14747.51;0.1637126;Indiana;yes
344;1998;431;7.7;111.2;301;3.392.214;6.809.436;1.430.045;5.907.617;15360.54;0.1646952;Indiana;yes
345;1999;374.6;6.6;109.3;321;3.437.446;6.808.481;1.419.487;5.942.901;15641.89;0.1656789;Indiana;yes
346;1977;144;2.3;41.2;66;0.685653;7.063.897;1.809.675;2.913.573;11973.25;0.052083;Iowa;no
347;1978;161.4;2.6;46.9;70;0.7171861;7.057.121;1.797.955;2.918.071;12893.26;0.0521634;Iowa;no
348;1979;181.2;2.2;50.2;70;0.7449912;7.048.128;1.787.537;2.915.739;12504.41;0.0521217;Iowa;no
349;1980;200.4;2.2;54.9;72;0.7836602;7.029.703;1.776.132;2.914.018;11692.24;0.0520686;Iowa;no
350;1981;204.2;2.6;53.6;86;0.8174417;7.004.603;1.754.038;2.907.975;12020.93;0.0519606;Iowa;no
351;1982;172.7;2.3;36.2;88;0.8431925;6.969.798;1.723.204;288.819;11586.26;0.0516071;Iowa;no
352;1983;181.1;2.3;41;93;0.8671857;6.930.383;1.688.523;287.055;11485;0.0512919;Iowa;no
353;1984;198.7;2;38.3;92;0.8918277;6.898.267;1.652.477;2.858.624;12273.28;0.0510788;Iowa;no
354;1985;211.7;1.9;41.2;97;0.9249439;686.693;161.795;2.829.685;12403.77;0.0505617;Iowa;no
355;1986;235.1;1.8;42;98;0.9559214;6.829.514;158.061;2.791.966;12744.18;0.0498877;Iowa;no
356;1987;231.2;2.1;36.2;98;0.9885779;6.813.417;1.544.967;2.767.005;13066.42;0.0494417;Iowa;no
357;1988;256.8;1.7;39.9;101;1.023.085;6.814.285;1.516.346;2.768.392;12895.23;0.0494665;Iowa;no
358;1989;266.3;1.9;39;107;1.061.725;6.798.687;1.487.516;2.770.585;13299.29;0.0495057;Iowa;no
359;1990;299.7;1.9;39.2;126;1.099.156;7.036.103;146.755;2.779.769;13243.56;0.0497498;Iowa;no
360;1991;303.3;2;45;139;1.145.482;7.044.009;1.457.194;2.791.227;13054.93;0.0499548;Iowa;no
361;1992;278;1.6;39.6;144;1.194.725;706.496;1.448.829;2.806.923;13446.69;0.0502358;Iowa;no
362;1993;325.5;2.3;53.9;160;1.239.237;7.071.407;144.337;2.820.525;13042.08;0.0504792;Iowa;no
363;1994;315.1;1.7;46.9;174;1.284.927;7.080.584;1.436.569;2.829.422;13774.66;0.0506384;Iowa;no
364;1995;354.4;1.8;53;192;1.322.205;7.096.812;1.433.379;284.086;13852.37;0.0508431;Iowa;no
365;1996;272.5;1.9;45.1;207;1.351.952;7.102.967;1.432.462;2.848.473;14422.76;0.0509794;Iowa;no
366;1997;310;1.8;55.9;222;1.369.852;7.110.349;1.428.554;2.854.396;14780.42;0.0510854;Iowa;no
367;1998;311.5;1.9;50.9;243;138.377;7.119.295;1.423.063;2.861.025;15185.18;0.051204;Iowa;no
368;1999;280;1.5;36.6;258;1.413.076;7.135.867;1.414.049;2.869.413;15307.6;0.0513541;Iowa;no
369;1977;309.8;6.6;100.7;91;2.339.736;6.785.155;1.843.249;2.320.647;12012.71;0.0283743;Kansas;no
370;1978;318.2;5.7;93.7;97;2.389.649;6.762.933;1.820.952;2.335.657;12349.3;0.0285578;Kansas;no
371;1979;353.6;5.5;102.3;98;2.457.519;6.738.694;1.805.302;2.350.908;12677.28;0.0287443;Kansas;no
372;1980;389.3;6.9;113.1;95;2.570.198;6.720.489;179.423;2.369.039;12135.94;0.0289691;Kansas;no
373;1981;369.4;6.3;109.7;106;2.621.958;6.698.371;1.780.109;2.384.859;12327.81;0.0291626;Kansas;no
374;1982;335.9;5.7;87;116;2.654.577;6.667.711;175.309;2.401.211;12372.65;0.0293626;Kansas;no
375;1983;326.6;5.6;84;129;2.688.512;6.637.502;1.725.579;2.415.537;12373;0.0295377;Kansas;no
376;1984;334.2;3.7;71.6;152;2.716.664;6.607.586;1.688.186;2.424.076;13044.32;0.0296422;Kansas;no
377;1985;355.8;4.9;78.7;173;2.768.463;657.078;1.658.557;2.427.412;13269.58;0.0296829;Kansas;no
378;1986;368.8;4.4;79.6;192;2.815.035;6.543.351;1.623.701;2.432.616;13547.74;0.0297466;Kansas;no
379;1987;360.7;4.4;82.1;217;2.860.774;6.515.877;1.590.991;2.445.387;13666.29;0.0299027;Kansas;no
380;1988;365.2;3.4;85.9;233;2.915.734;650.228;156.331;2.461.987;13750.7;0.0301057;Kansas;no
381;1989;400.8;5.5;99.8;232;2.955.258;6.477.983;1.537.131;2.472.847;13725.68;0.0302385;Kansas;no
382;1990;447.7;4;117.6;222;3.021.466;6.675.621;1.515.296;2.480.683;13854.68;0.0303177;Kansas;no
383;1991;499.6;6.1;138.4;227;3.038.503;6.677.325;1.503.277;2.495.209;13766.19;0.0304952;Kansas;no
384;1992;510.8;6;129.9;231;3.129.085;6.691.853;1.489.706;2.526.042;14168.05;0.030872;Kansas;no
385;1993;496.4;6.4;123.6;238;3.143.266;6.708.665;1.480.304;2.547.605;14131.39;0.0311356;Kansas;no
386;1994;443;6.7;115.1;226;3.172.606;672.344;1.474.646;2.569.118;14348.54;0.0313985;Kansas;no
387;1995;420.7;6.2;108.2;248;3.202.391;6.745.663;1.470.315;2.586.942;14315.41;0.0316163;Kansas;no
388;1996;413.8;6.6;96.3;274;3.211.065;6.761.414;1.465.681;2.598.266;14681.84;0.0317547;Kansas;no
389;1997;409.2;6;93.3;301;3.231.118;6.769.551;1.468.747;2.616.339;15126.32;0.0319756;Kansas;no
390;1998;397;5.9;86.8;304;3.272.751;6.777.126;147.296;2.638.667;15645.27;0.0322485;Kansas;no
391;1999;382.8;6;77.1;310;3.327.742;678.686;1.474.104;2.654.052;15969.59;0.0324365;Kansas;no
392;1977;233.6;10.1;81.1;107;2.610.464;6.792.831;1.865.448;3.573.694;10020.18;0.090131;Kentucky;no
393;1978;223.2;9;81.3;106;2.616.112;6.794.283;1.846.192;3.609.976;10365.95;0.0910461;Kentucky;no
394;1979;248;9.5;92.1;97;2.636.384;6.792.229;1.832.852;3.641.806;10482.08;0.0918488;Kentucky;no
395;1980;266.7;8.8;95.2;105;2.674.675;6.781.461;1.819.773;3.664.221;9.951.279;0.0923699;Kentucky;no
396;1981;289.5;8.4;100.7;99;2.684.296;6.784.683;1.802.538;3.670.385;9984.56;0.0925253;Kentucky;no
397;1982;315;9.7;97.3;114;2.693.218;6.786.681;1.783.943;3.683.437;9.895.847;0.0928543;Kentucky;no
398;1983;322.2;9.8;87.1;110;2.696.076;6.787.104;1.759.574;369.448;9859;0.0931327;Kentucky;no
399;1984;277.8;6.6;70.7;127;2.689.983;6.774.832;1.730.419;3.695.451;10608.46;0.0931571;Kentucky;no
400;1985;305.5;6.9;75.7;128;2.704.782;6.771.535;1.704.153;3.694.827;10702.71;0.0931414;Kentucky;no
401;1986;334.4;6.7;82.5;133;2.710.441;6.763.098;1.672.124;3.687.813;10903.45;0.0929646;Kentucky;no
402;1987;337.8;7.5;90.2;142;2.718.658;6.761.863;1.642.337;3.683.325;11209.81;0.0928515;Kentucky;no
403;1988;330.1;6.2;74.3;147;2.734.345;6.765.378;1.613.319;3.680.003;11425.94;0.0927677;Kentucky;no
404;1989;356.9;7.9;76.1;191;2.746.925;6.761.806;158.395;3.677.312;11725.41;0.0926999;Kentucky;no
405;1990;390.4;7.2;69.1;222;2.776.728;6.996.033;1.559.848;3.692.584;11798.81;0.0929373;Kentucky;no
406;1991;438;6.8;83.1;241;2.785.835;699.856;1.537.847;3.714.686;11872.17;0.0934936;Kentucky;no
407;1992;535.5;5.8;87.2;262;2.814.295;6.997.852;1.520.441;3.756.358;12297.2;0.0945424;Kentucky;no
408;1993;462.7;6.6;90.4;274;2.812.286;7.001.945;150.212;3.792.288;12274.54;0.0954467;Kentucky;no
409;1994;444;6.4;93.9;274;2.828.954;699.761;1.483.783;3.823.215;12441.41;0.0962251;Kentucky;no
410;1995;364.7;7.2;103.7;288;2.841.607;7.002.628;1.468.603;3.855.248;12566.61;0.0970313;Kentucky;no
411;1996;320.5;5.9;93.8;311;2.857.448;7.004.683;1.455.364;3.881.051;12798.42;0.0976807;Kentucky;no
412;1997;316.9;5.8;90.7;331;2.878.564;6.990.127;1.446.816;3.907.816;13178.24;0.0983544;Kentucky;yes
413;1998;284;4.6;75.4;372;2.916.852;7.005.663;1.434.948;393.431;13660.74;0.0990212;Kentucky;yes
414;1999;300.6;5.4;80;379;2.947.063;7.029.076;1.422.267;3.960.825;13889.75;0.0996885;Kentucky;yes
415;1977;524.8;15.5;142.9;120;991.717;5.229.824;1.926.863;4.014.462;10085.94;0.0893492;Louisiana;no
416;1978;584.9;15.8;173.7;152;9.941.655;5.232.671;1.918.889;4.068.578;10621.13;0.0905537;Louisiana;no
417;1979;676.3;16.9;219.4;184;9.950.658;5.226.536;1.903.989;4.137.666;10719.44;0.0920914;Louisiana;no
418;1980;665;15.7;197;190;1.007.009;5.201.642;1.888.283;4.223.101;10679.1;0.0948564;Louisiana;no
419;1981;638.3;15.6;202;211;1.018.019;5.195.408;1.876.897;4.283.298;11000.55;0.0962085;Louisiana;no
420;1982;669.1;16;212.6;216;1.024.866;5.183.288;1.854.009;435.261;10895.85;0.0977653;Louisiana;no
421;1983;640.9;14.2;190;251;102.715;5.159.832;1.817.694;4.395.316;10865;0.0987246;Louisiana;no
422;1984;678;12.9;190.5;290;1.031.587;5.128.816;1.783.558;4.400.474;11151.25;0.0988404;Louisiana;no
423;1985;694.2;10.9;190.3;310;1.035.707;5.092.176;1.748.074;4.408.121;11224.05;0.0990122;Louisiana;no
424;1986;758.2;12.8;223.8;308;1.037.283;5.047.743;1.708.201;4.406.918;10933.45;0.0989852;Louisiana;no
425;1987;693;11.1;179;316;1.043.954;5.008.353;1.673.912;4.344.129;10757.28;0.0975748;Louisiana;no
426;1988;717.4;11.6;209;346;1.052.598;4.970.518;1.641.509;4.288.835;11041.15;0.0963329;Louisiana;no
427;1989;781.8;14.9;237.3;370;1.061.883;4.949.004;1.610.294;4.252.906;11239.59;0.0955258;Louisiana;no
428;1990;898.4;17.2;269.8;396;1.077.563;5.118.166;1.582.794;4.219.179;11599.93;0.0968457;Louisiana;no
429;1991;951;16.9;278.9;427;1.087.662;5.099.825;157.049;424.095;11751.56;0.0973454;Louisiana;no
430;1992;984.6;17.4;271.4;462;110.058;5.081.783;1.558.374;4.270.849;12047.28;0.0980317;Louisiana;yes
431;1993;1061.7;20.3;283.6;484;1.115.636;5.063.774;1.544.625;4.284.749;12207.01;0.0983508;Louisiana;yes
432;1994;981.9;19.8;267.2;522;1.125.805;5.049.049;153.459;43.065;12619.49;0.09885;Louisiana;yes
433;1995;1007.4;17;268.6;556;1.138.109;5.039.554;1.528.652;4.327.978;12779.81;0.099343;Louisiana;yes
434;1996;929.1;17.5;276.6;578;1.150.664;5.031.187;1.522.261;4.338.763;12861.29;0.0995906;Louisiana;yes
435;1997;855.9;15.7;239.1;615;1.159.418;5.023.799;1.514.679;435.139;13170.17;0.0998804;Louisiana;yes
436;1998;779.5;12.8;198;672;1.167.677;502.277;1.507.427;4.362.758;13656.46;0.1001413;Louisiana;yes
437;1999;732.7;10.7;173.6;736;117.578;5.020.788;1.499.215;4.372.035;13657.72;0.1003543;Louisiana;yes
438;1977;224.7;2.4;38.7;57;0.3591956;7.224.625;1.801.832;1.103.577;10097.45;0.0356914;Maine;no
439;1978;207.7;2.7;32.9;61;0.3714197;7.236.075;1.784.332;1.113.565;10315.53;0.0360144;Maine;no
440;1979;202.5;2.8;31.8;53;0.3794884;7.246.732;1.766.768;1.122.564;10285.88;0.0363054;Maine;no
441;1980;193.4;2.8;30.8;58;0.4009371;7.238.139;1.753.962;112.686;10165.27;0.0363562;Maine;no
442;1981;195.6;3.2;32.5;61;0.4271765;7.241.499;1.739.059;1.133.021;10117.18;0.036555;Maine;no
443;1982;163;2.1;30.5;71;0.4495533;7.228.526;1.715.235;1.136.684;10188.94;0.0366731;Maine;yes
444;1983;159.6;2.1;27.1;69;0.4685661;7.215.456;1.686.358;1.144.769;10551;0.036934;Maine;yes
445;1984;158.5;1.7;26.4;75;0.4877859;7.209.315;1.651.394;115.563;11186.74;0.0372844;Maine;yes
446;1985;167.5;2.4;24.4;72;0.5115505;7.189.352;1.621.613;1.162.935;11605.56;0.0375201;Maine;yes
447;1986;147;2;27.9;83;0.5308853;716.749;1.589.844;1.170.121;12237.87;0.0377519;Maine;yes
448;1987;152.1;2.5;25.6;106;0.550073;7.155.804;155.957;118.457;12799.81;0.0382181;Maine;yes
449;1988;157.4;3.1;25.8;106;0.5722569;715.842;153.005;120.383;13314.55;0.0388395;Maine;yes
450;1989;137.2;3.2;24;100;0.5936338;7.146.689;1.498.429;1.219.944;13559.46;0.0393594;Maine;yes
451;1990;143.2;2.4;25.1;116;0.6135811;7.381.962;1.465.147;1.231.296;13319;0.039893;Maine;yes
452;1991;132.1;1.2;22.7;118;0.6260932;7.374.602;1.439.132;1.235.439;12910.92;0.0400272;Maine;yes
453;1992;130.9;1.7;23.3;123;0.6442252;7.366.696;1.411.032;1.235.748;13028.5;0.0400372;Maine;yes
454;1993;125.7;1.6;21.3;121;0.6439703;7.372.951;1.393.718;1.238.256;12960.09;0.0401184;Maine;yes
455;1994;129.9;2.3;22.4;116;0.6440239;7.379.119;1.372.625;1.237.687;13124.83;0.0401;Maine;yes
456;1995;131.4;2;26.9;113;0.6617705;7.401.494;1.362.509;1.237.438;13236.96;0.040092;Maine;yes
457;1996;124.9;2;23.5;107;0.6695472;7.431.354;1.358.757;1.241.436;13521.06;0.0402215;Maine;yes
458;1997;120.8;2;20.7;108;0.6919287;7.457.877;1.352.939;1.245.215;13850.78;0.0403439;Maine;yes
459;1998;125.8;2;21.1;124;0.7122738;7.481.993;1.349.889;1.247.554;14376.22;0.0404197;Maine;yes
460;1999;112.2;2.2;19.4;125;0.729426;7.510.503;1.345.536;125.304;14700.04;0.0405974;Maine;yes
461;1977;693.8;8;292.1;192;8.315.102;5.980.103;1.856.987;4.169.594;13466;0.4215544;Maryland;no
462;1978;732;8.2;309.6;198;8.572.083;5.947.229;1.843.057;4.183.604;13846.74;0.4229708;Maryland;no
463;1979;795.5;9.8;331.2;193;8.846.709;5.909.584;1.830.093;4.191.163;13768.02;0.423735;Maryland;no
464;1980;852.4;9.5;392.7;187;9.062.828;5.811.522;1.800.405;4.227.643;13577.07;0.4297695;Maryland;no
465;1981;887.1;9.9;424.4;183;9.294.334;5.774.186;1.782.723;4.261.908;13593.69;0.4332528;Maryland;no
466;1982;850;10.1;360.5;218;9.449.821;5.723.314;1.756.576;4.282.917;13669.87;0.4353885;Maryland;no
467;1983;807.1;8.5;347.4;244;9.593.448;5.666.724;1.730.929;4.313.319;14228;0.4384791;Maryland;no
